date,close,Trading_Volume
2024-11-01,99.0,190714
2024-11-04,97.7,194379
2024-11-05,99.6,328252
2024-11-06,100.0,476326
2024-11-07,101.0,364238
2024-11-08,100.5,206673
2024-11-11,99.9,360503
2024-11-12,98.7,255648
2024-11-13,99.7,100119
2024-11-14,99.3,154851
2024-11-15,98.8,255656
2024-11-18,96.5,303582
2024-11-19,97.8,80658
2024-11-20,98.2,258342
2024-11-21,97.1,257959
2024-11-22,97.5,99741
2024-11-25,97.5,180174
2024-11-26,99.0,417287
2024-11-27,98.2,178444
2024-11-28,96.5,179578
2024-11-29,98.2,146039
2024-12-02,97.8,147988
2024-12-03,97.8,106666
2024-12-04,97.2,192627
2024-12-05,96.9,209133
2024-12-06,96.4,319820
2024-12-09,95.8,250099
2024-12-10,95.5,112371
2024-12-11,95.3,231674
2024-12-12,95.4,138542
2024-12-13,94.1,261953
2024-12-16,93.2,253412
2024-12-17,93.3,92011
2024-12-18,93.7,90838
2024-12-19,93.1,143909
2024-12-20,92.7,124338
2024-12-23,92.9,124339
2024-12-24,93.4,158076
2024-12-25,93.4,98181
2024-12-26,93.5,104166
2024-12-27,93.9,221217
2024-12-30,93.2,67762
2024-12-31,92.4,186249
2025-01-02,93.1,138511
2025-01-03,92.5,150938
2025-01-06,92.9,78505
2025-01-07,92.8,76820
2025-01-08,93.7,130904
2025-01-09,94.0,233076
2025-01-10,93.7,124184
2025-01-13,91.9,233627
2025-01-14,92.0,136579
2025-01-15,91.6,102938
2025-01-16,91.8,88059
2025-01-17,91.7,62849
2025-01-20,92.1,139877
2025-01-21,92.2,101770
2025-01-22,92.9,61450
2025-02-03,94.6,256101
2025-02-04,93.5,111695
2025-02-05,95.0,125237
2025-02-06,96.5,162582
2025-02-07,95.7,103464
2025-02-10,98.0,294076
2025-02-11,97.4,195489
2025-02-12,97.4,261648
2025-02-13,97.4,148563
2025-02-14,97.2,79254
2025-02-17,97.6,96939
2025-02-18,96.4,212927
2025-02-19,96.7,111109
2025-02-20,97.0,114623
2025-02-21,96.9,136522
2025-02-24,95.8,222297
2025-02-25,94.9,197393
2025-02-26,94.8,59469
2025-02-27,93.9,155949
2025-03-03,92.8,190868
2025-03-04,93.8,316175
2025-03-05,94.0,149196
2025-03-06,94.2,126605
2025-03-07,92.9,172583
2025-03-10,92.0,366811
2025-03-11,91.7,332529
2025-03-12,92.0,136824
2025-03-13,91.3,184278
2025-03-14,91.1,169192
2025-03-17,90.9,220069
2025-03-18,91.1,93601
2025-03-19,90.6,179029
2025-03-20,90.9,94148
2025-03-21,90.8,122928
2025-03-24,91.3,150119
2025-03-25,91.3,96063
2025-03-26,91.6,64470
2025-03-27,91.0,152580
2025-03-28,90.3,297626
2025-03-31,86.6,392342
2025-04-01,90.5,224514
2025-04-02,91.7,179988
2025-04-07,82.6,1242828
2025-04-08,82.7,682572
2025-04-09,78.0,961229
2025-04-10,85.8,406264
2025-04-11,84.2,356084
2025-04-14,84.9,404459
2025-04-15,88.2,310645
2025-04-16,89.7,254151
2025-04-17,90.0,249810
2025-04-18,89.2,82991
2025-04-21,86.0,165032
2025-04-22,84.1,163270
2025-04-23,86.3,125424
2025-04-24,87.8,141686
2025-04-25,88.5,69755
2025-04-28,90.6,118889
2025-04-29,90.6,42614
2025-04-30,89.2,49797
2025-05-02,89.3,36389
2025-05-05,85.6,145188
2025-05-06,86.2,46361
2025-05-07,85.5,158672
2025-05-08,94.0,789632
2025-05-09,97.1,1030154
2025-05-12,95.6,307404
2025-05-13,99.7,847139
2025-05-14,99.7,416268
2025-05-15,99.8,980300
2025-05-16,101.5,636263
2025-05-19,99.4,357992
2025-05-20,98.3,229096
2025-05-21,100.0,219267
2025-05-22,99.8,354005
2025-05-23,100.0,183581
2025-05-26,100.0,177757
2025-05-27,104.5,1395028
2025-05-28,105.0,451093
2025-05-29,105.0,452245
2025-06-02,104.5,558330
2025-06-03,107.0,963679
2025-06-04,109.5,1878428
2025-06-05,108.0,406808
2025-06-06,108.5,1044125
2025-06-09,109.5,408343
2025-06-10,107.0,1457534
2025-06-11,106.5,534560
2025-06-12,106.0,471642
2025-06-13,104.5,385797
2025-06-16,105.5,244430
2025-06-17,103.5,510549
2025-06-18,103.5,251219
2025-06-19,102.5,270744
2025-06-20,101.0,293871
2025-06-23,101.5,169406
2025-06-24,103.5,251992
2025-06-25,103.5,167190
2025-06-26,103.0,265352
2025-06-27,103.0,127428
2025-06-30,102.0,148779
2025-07-01,102.0,252089
2025-07-02,102.0,157456
2025-07-03,105.0,373746
2025-07-04,103.0,198381
2025-07-07,102.5,148642
2025-07-08,102.0,197875
2025-07-09,104.5,417215
2025-07-10,105.0,272981
2025-07-11,104.0,191287
2025-07-14,105.0,281805
2025-07-15,108.5,561182
2025-07-16,106.5,343877
2025-07-17,106.5,172846
2025-07-18,106.0,497878
2025-07-21,105.5,234303
2025-07-22,104.5,646657
2025-07-23,102.0,341238
2025-07-24,106.0,481861
2025-07-25,104.0,268839
2025-07-28,102.0,354687
2025-07-29,102.0,229141
2025-07-30,102.0,152287
2025-07-31,99.9,627163
2025-08-01,100.5,135561
2025-08-04,102.5,141123
2025-08-05,104.0,156608
2025-08-06,105.5,203853
2025-08-07,104.0,128420
2025-08-08,104.0,86100
2025-08-11,114.0,1792921
2025-08-12,115.0,2636001
2025-08-13,110.5,1228824
2025-08-14,107.5,804096
2025-08-15,106.5,458575
2025-08-18,106.5,386291
2025-08-19,106.5,315318
2025-08-20,107.5,475308
2025-08-21,108.0,272940
2025-08-22,111.5,479626
2025-08-25,112.0,288083
2025-08-26,111.0,205751
2025-08-27,113.5,477961
2025-08-28,114.0,385743
2025-08-29,115.5,399941
2025-09-01,113.5,579759
2025-09-02,113.5,200283
2025-09-03,115.0,169346
2025-09-04,115.0,223268
2025-09-05,118.0,524896
2025-09-08,115.5,515089
2025-09-09,112.5,809297
2025-09-10,111.5,380316
2025-09-11,107.5,653870
2025-09-12,109.0,240487
2025-09-15,109.0,139916
2025-09-16,113.0,436753
2025-09-17,115.0,562500
2025-09-18,116.5,296629
2025-09-19,116.0,274612
2025-09-22,115.0,290525
2025-09-23,115.0,248181
2025-09-24,120.0,671001
2025-09-25,121.5,814588
2025-09-26,120.0,388544
2025-09-30,123.0,215118
2025-10-01,121.0,209899
2025-10-02,118.0,197846
2025-10-03,120.0,112111
2025-10-07,116.0,284660
2025-10-08,115.0,316323
2025-10-09,119.0,500445
2025-10-13,126.0,838403
2025-10-14,126.5,820297
2025-10-15,122.5,377184
2025-10-16,124.0,274376
2025-10-17,124.0,143519
2025-10-20,122.5,214530
2025-10-21,121.0,172713
2025-10-22,120.5,105751
2025-10-23,120.0,157490
2025-10-27,123.0,334528
